Taxonomy,Timepoint,Type,Name,GPM
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,7,Metatranscriptome,boxAB,9.01006891
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,8,Metatranscriptome,boxAB,4.429565892
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,9,Metatranscriptome,boxAB,5.412978034
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,10,Metatranscriptome,boxAB,0.982900567
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,11,Metatranscriptome,boxAB,1.666357595
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,12,Metatranscriptome,boxAB,2.737663261
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,12.5,Metatranscriptome,boxAB,3.190972773
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,13,Metatranscriptome,boxAB,9.465318803
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,13.5,Metatranscriptome,boxAB,1.670583888
Bacteria;Under 2% of Population,1,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,2,Metatranscriptome,boxAB,4.792485577
Bacteria;Under 2% of Population,3,Metatranscriptome,boxAB,0.4776609
Bacteria;Under 2% of Population,5,Metatranscriptome,boxAB,1.38225467
Bacteria;Under 2% of Population,5.5,Metatranscriptome,boxAB,2.820720211
Bacteria;Under 2% of Population,6,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,7,Metatranscriptome,boxAB,2.944792543
Bacteria;Under 2% of Population,8,Metatranscriptome,boxAB,5.198869451
Bacteria;Under 2% of Population,9,Metatranscriptome,boxAB,1.720202119
Bacteria;Under 2% of Population,10,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,11,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,12,Metatranscriptome,boxAB,0.916798459
Bacteria;Under 2% of Population,12.5,Metatranscriptome,boxAB,1.959644594
Bacteria;Under 2% of Population,13,Metatranscriptome,boxAB,1.9829035
Bacteria;Under 2% of Population,13.5,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,1,Metatranscriptome,boxAB,12.5265861
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,2,Metatranscriptome,boxAB,8.438019371
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,3,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,5,Metatranscriptome,boxAB,3.182165173
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,5.5,Metatranscriptome,boxAB,1.213004865
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,6,Metatranscriptome,boxAB,3.551953721
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,7,Metatranscriptome,boxAB,25.38755627
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,8,Metatranscriptome,boxAB,8.312891194
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,9,Metatranscriptome,boxAB,12.50934307
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,10,Metatranscriptome,boxAB,8.173558492
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,11,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,12,Metatranscriptome,boxAB,3.415776974
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,12.5,Metatranscriptome,boxAB,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,13,Metatranscriptome,boxAB,19.00041258
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,13.5,Metatranscriptome,boxAB,2.229804876
Bacteria;Under 2% of Population,1,Metatranscriptome,boxAB,3.173462398
Bacteria;Under 2% of Population,2,Metatranscriptome,boxAB,1.680484259
Bacteria;Under 2% of Population,3,Metatranscriptome,boxAB,1.9487717
Bacteria;Under 2% of Population,5,Metatranscriptome,boxAB,1.267008302
Bacteria;Under 2% of Population,5.5,Metatranscriptome,boxAB,1.433494173
Bacteria;Under 2% of Population,6,Metatranscriptome,boxAB,1.208530245
Bacteria;Under 2% of Population,7,Metatranscriptome,boxAB,6.594038848
Bacteria;Under 2% of Population,8,Metatranscriptome,boxAB,2.745742104
Bacteria;Under 2% of Population,9,Metatranscriptome,boxAB,2.535894597
Bacteria;Under 2% of Population,10,Metatranscriptome,boxAB,1.342936903
Bacteria;Under 2% of Population,11,Metatranscriptome,boxAB,0.624807492
Bacteria;Under 2% of Population,12,Metatranscriptome,boxAB,3.387323188
Bacteria;Under 2% of Population,12.5,Metatranscriptome,boxAB,1.098712356
Bacteria;Under 2% of Population,13,Metatranscriptome,boxAB,2.600848261
Bacteria;Under 2% of Population,13.5,Metatranscriptome,boxAB,1.791099544
Bacteria;Under 2% of Population,1,Metatranscriptome,boxAB,4.818013269
Bacteria;Under 2% of Population,2,Metatranscriptome,boxAB,9.328422319
Bacteria;Under 2% of Population,3,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,5.5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,6,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,7,Metatranscriptome,boxAB,9.420884752
Bacteria;Under 2% of Population,8,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,9,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,10,Metatranscriptome,boxAB,0.645212839
Bacteria;Under 2% of Population,11,Metatranscriptome,boxAB,1.582106191
Bacteria;Under 2% of Population,12,Metatranscriptome,boxAB,2.172920015
Bacteria;Under 2% of Population,12.5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,13,Metatranscriptome,boxAB,0.675940331
Bacteria;Under 2% of Population,13.5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,1,Metatranscriptome,boxAB,8.438952055
Bacteria;Under 2% of Population,2,Metatranscriptome,boxAB,19.19206006
Bacteria;Under 2% of Population,3,Metatranscriptome,boxAB,1.231227
Bacteria;Under 2% of Population,5,Metatranscriptome,boxAB,1.414045659
Bacteria;Under 2% of Population,5.5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,6,Metatranscriptome,boxAB,0.49776385
Bacteria;Under 2% of Population,7,Metatranscriptome,boxAB,1.381334288
Bacteria;Under 2% of Population,8,Metatranscriptome,boxAB,1.409798147
Bacteria;Under 2% of Population,9,Metatranscriptome,boxAB,0.820621887
Bacteria;Under 2% of Population,10,Metatranscriptome,boxAB,0.157102889
Bacteria;Under 2% of Population,11,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,12,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,12.5,Metatranscriptome,boxAB,0
Bacteria;Under 2% of Population,13,Metatranscriptome,boxAB,0.355500157
Bacteria;Under 2% of Population,13.5,Metatranscriptome,boxAB,0.488926172
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,1,Metagenome,boxAB,21.39408092
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,2,Metagenome,boxAB,22.22257119
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,3,Metagenome,boxAB,10.55220706
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,4,Metagenome,boxAB,10.2008418
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,5,Metagenome,boxAB,12.8483752
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,5.5,Metagenome,boxAB,9.156464716
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,6,Metagenome,boxAB,9.431998548
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,7,Metagenome,boxAB,12.33583002
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,9,Metagenome,boxAB,16.18963451
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,9.5,Metagenome,boxAB,28.63403232
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,10,Metagenome,boxAB,10.08031362
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,11,Metagenome,boxAB,7.583230667
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,12,Metagenome,boxAB,10.10387834
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,12.5,Metagenome,boxAB,8.908032492
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,13,Metagenome,boxAB,17.53083205
Archaea;Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota;unclassified Euryarchaeota,13.5,Metagenome,boxAB,17.04932561
Bacteria;Under 2% of Population,1,Metagenome,boxAB,7.599258686
Bacteria;Under 2% of Population,2,Metagenome,boxAB,6.549696424
Bacteria;Under 2% of Population,3,Metagenome,boxAB,1.45712231
Bacteria;Under 2% of Population,4,Metagenome,boxAB,1.791685135
Bacteria;Under 2% of Population,5,Metagenome,boxAB,3.164212915
Bacteria;Under 2% of Population,5.5,Metagenome,boxAB,0.873759498
Bacteria;Under 2% of Population,6,Metagenome,boxAB,4.090989675
Bacteria;Under 2% of Population,7,Metagenome,boxAB,3.515674541
Bacteria;Under 2% of Population,9,Metagenome,boxAB,4.791463209
Bacteria;Under 2% of Population,9.5,Metagenome,boxAB,9.157819176
Bacteria;Under 2% of Population,10,Metagenome,boxAB,3.570924165
Bacteria;Under 2% of Population,11,Metagenome,boxAB,2.819542259
Bacteria;Under 2% of Population,12,Metagenome,boxAB,2.508954295
Bacteria;Under 2% of Population,12.5,Metagenome,boxAB,3.771234726
Bacteria;Under 2% of Population,13,Metagenome,boxAB,3.502522224
Bacteria;Under 2% of Population,13.5,Metagenome,boxAB,13.61514867
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,1,Metagenome,boxAB,56.79327767
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,2,Metagenome,boxAB,77.70837086
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,3,Metagenome,boxAB,39.12514109
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,4,Metagenome,boxAB,57.15329636
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,5,Metagenome,boxAB,79.24915699
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,5.5,Metagenome,boxAB,66.99158003
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,6,Metagenome,boxAB,61.7431127
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,7,Metagenome,boxAB,33.79066196
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,9,Metagenome,boxAB,68.45297269
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,9.5,Metagenome,boxAB,72.06688352
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,10,Metagenome,boxAB,61.40073848
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,11,Metagenome,boxAB,45.34853351
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,12,Metagenome,boxAB,56.05234375
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,12.5,Metagenome,boxAB,51.63137709
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,13,Metagenome,boxAB,64.66817097
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,13.5,Metagenome,boxAB,50.79779921
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,1,Metagenome,boxAB,3.503516701
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,2,Metagenome,boxAB,8.979160295
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,3,Metagenome,boxAB,3.36151039
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,4,Metagenome,boxAB,1.130792672
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,5,Metagenome,boxAB,6.87712317
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,5.5,Metagenome,boxAB,3.529732649
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,6,Metagenome,boxAB,3.279647247
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,7,Metagenome,boxAB,3.397888995
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,9,Metagenome,boxAB,2.796399515
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,9.5,Metagenome,boxAB,3.034709818
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,10,Metagenome,boxAB,3.267428906
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,11,Metagenome,boxAB,4.615660901
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,12,Metagenome,boxAB,1.839214601
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,12.5,Metagenome,boxAB,3.136417016
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,13,Metagenome,boxAB,3.808660066
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales,13.5,Metagenome,boxAB,3.54953572
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,1,Metagenome,boxAB,5.510175439
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,2,Metagenome,boxAB,5.867496311
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,3,Metagenome,boxAB,2.065925272
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,4,Metagenome,boxAB,1.165724398
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,5,Metagenome,boxAB,1.387254968
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,5.5,Metagenome,boxAB,1.477447104
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,6,Metagenome,boxAB,1.955898905
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,7,Metagenome,boxAB,2.572695008
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,9,Metagenome,boxAB,3.696444712
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,9.5,Metagenome,boxAB,7.110878494
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,10,Metagenome,boxAB,2.670445639
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,11,Metagenome,boxAB,1.91538188
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,12,Metagenome,boxAB,2.501681077
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,12.5,Metagenome,boxAB,2.660431003
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,13,Metagenome,boxAB,4.662162922
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,13.5,Metagenome,boxAB,6.549219982
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,1,Metagenome,boxAB,2.178799214
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,2,Metagenome,boxAB,1.714310561
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,3,Metagenome,boxAB,0.587757846
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,4,Metagenome,boxAB,0.95067638
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,5,Metagenome,boxAB,1.484582519
Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria,5.5,Metagenome,boxAB,3.498797369
