baseMean,padj,group_1,tide
188.2341878,0.000334965,Metabolism,low
53.2988476,0.015419634,Genetic Information Processing,low
188.8357617,0.031821976,Cellular Processes,low
307.027527,1.73E-10,Unclassified,low
99.77680334,0.031544341,Environmental Information Processing,low
585.6638941,0.013143704,Genetic Information Processing,low
32.14968535,0.150840873,Environmental Information Processing,low
13.95146531,0.302015098,Metabolism,low
30.97823915,0.462411534,Genetic Information Processing,low
17.4845185,0.24465733,Genetic Information Processing,low
32.05359786,0.36630481,Metabolism,low
159.1973578,0.000451935,Metabolism,low
15.53767007,0.205804622,Genetic Information Processing,low
364.4311542,0.007240406,Metabolism,low
61.86828149,0.007136931,Genetic Information Processing,low
38.46572753,0.03030749,Human Diseases,low
69.34509823,0.114710937,Genetic Information Processing,low
22.59153146,0.391195042,Cellular Processes,low
246.4805053,0.361512202,Unclassified,low
843.8210367,0.004726998,Genetic Information Processing,low
92.05401773,0.013913035,Genetic Information Processing,low
14.08877055,0.154962222,Genetic Information Processing,low
103.8356801,0.367325543,Genetic Information Processing,low
56.64781817,0.038716597,Environmental Information Processing,low
58.11087501,0.381639537,Organismal Systems,low
187.8524093,0.135728641,Metabolism,low
12.31021295,0.552703391,Genetic Information Processing,low
29.61260321,0.040703411,Organismal Systems,low
21.14072468,0.261261348,Genetic Information Processing,low
10.57137493,0.381109323,Genetic Information Processing,low
19.18801449,0.119559126,Genetic Information Processing,low
83.66178057,0.062296899,Metabolism,low
137.9804662,0.096404032,Metabolism,low
685.6936267,0.259340526,Genetic Information Processing,low
11.48077484,0.223343493,Metabolism,low
226.9994897,0.089309735,Genetic Information Processing,low
25.14385133,0.39265673,Environmental Information Processing,low
34.13861732,0.477264469,Environmental Information Processing,low
188.4821547,0.000185767,Human Diseases,low
16.00015458,0.280873499,Genetic Information Processing,low
1529.085459,0.001581149,Genetic Information Processing,low
23.56194012,0.247868644,Genetic Information Processing,low
213.2157183,0.001145228,Human Diseases,low
9.721449391,0.491085235,Genetic Information Processing,low
174.507709,0.03030749,Genetic Information Processing,low
35.49960747,0.162262781,Unclassified,low
229.1524175,0.034039378,Organismal Systems,low
19.93942796,0.198399069,Unclassified,low
82.12531473,0.02202186,Genetic Information Processing,low
31.83300901,0.434331101,Metabolism,low
219.6813547,0.000373953,Genetic Information Processing,low
49.41747136,0.277661949,Genetic Information Processing,low
19.25249575,0.545834728,Environmental Information Processing,low
571.3321597,0.003676012,Environmental Information Processing,low
30.7330525,0.652673714,Genetic Information Processing,low
11.96297165,0.40583174,Environmental Information Processing,low
9.178098655,0.426342263,Genetic Information Processing,low
28.88950166,0.183574612,Human Diseases,low
88.31497673,0.002962702,Metabolism,low
12.29771823,0.593392892,Genetic Information Processing,low
2766.034004,9.27E-05,Metabolism,low
38.20380406,0.212541627,Genetic Information Processing,low
19.02089226,0.273227779,Genetic Information Processing,low
23.29794554,0.489124551,Genetic Information Processing,low
212.377486,0.001502716,Genetic Information Processing,low
21.35260963,0.220798018,Organismal Systems,low
147.1810565,0.026047841,Environmental Information Processing,low
25.95774247,0.298842632,Genetic Information Processing,low
171.5327367,0.019991169,Cellular Processes,low
313.1588254,3.00E-06,Organismal Systems,low
639.066642,0.000654272,Organismal Systems,low
60.75862134,0.135150654,Genetic Information Processing,low
130.1164909,0.298236369,Genetic Information Processing,low
383.9425818,0.000530777,Metabolism,low
74.02804887,0.045290538,Genetic Information Processing,low
73.28778317,0.010004902,Metabolism,low
27.54557226,0.146387338,Genetic Information Processing,low
111.0184343,0.006632905,Metabolism,low
146.8145007,0.009041454,Genetic Information Processing,low
13.0163091,0.330815564,Genetic Information Processing,low
2774.068944,0.000921862,Cellular Processes,low
64.47971344,0.54023207,Metabolism,low
10.01866525,0.719644156,Genetic Information Processing,low
23.10040506,0.441721463,Genetic Information Processing,low
51.63767077,0.230736507,Cellular Processes,low
14.48698791,0.428045465,Human Diseases,low
43.22086938,0.34115016,Metabolism,low
77.30082213,0.021760629,Genetic Information Processing,low
32.88780224,0.259156883,Cellular Processes,low
22.40354338,0.469717338,Cellular Processes,low
178.9370154,0.126327758,Genetic Information Processing,low
37.47808476,0.099422467,Metabolism,low
26.52238877,0.041678854,Metabolism,low
115.8246717,0.05206515,Cellular Processes,low
28.41386343,0.286385754,Genetic Information Processing,low
605.0445113,0.128995008,Genetic Information Processing,low
12.43425871,0.630668534,Metabolism,low
338.7648891,3.23E-06,Environmental Information Processing,low
38.54688967,0.226220885,Unclassified,low
129.4665303,0.003772715,Cellular Processes,low
11.04311729,0.514218409,Unclassified,low
12.80545136,0.487689205,Unclassified,low
82.14974585,0.392410197,Cellular Processes,low
129.824866,0.052260278,Organismal Systems,low
27.53784474,0.135620739,Genetic Information Processing,low
30.90356959,0.133094509,Metabolism,low
101.3430308,0.000287516,Genetic Information Processing,low
238.9670115,0.236319843,Environmental Information Processing,low
27.40693285,0.076616824,Genetic Information Processing,low
399.8762174,4.07E-05,Cellular Processes,low
9.402477201,0.563123386,Cellular Processes,low
74.53122994,0.428687823,Genetic Information Processing,low
14.7789455,0.259738875,Genetic Information Processing,low
64.44129424,0.316021072,Genetic Information Processing,low
24.38814956,0.175799098,Genetic Information Processing,low
163.4417063,0.162964927,Cellular Processes,low
419.9392069,0.007956781,Environmental Information Processing,low
97.497758,0.028163179,Genetic Information Processing,low
201.4230911,0.000722839,Genetic Information Processing,low
19.89107725,0.533592293,Environmental Information Processing,low
70.73300827,0.159888171,Cellular Processes,low
46.51962255,0.549328598,Unclassified,low
46.89951454,0.257463822,Cellular Processes,low
52.94347955,0.012676201,Genetic Information Processing,low
18.45595256,0.310301313,Metabolism,low
326.3795472,0.35750899,Genetic Information Processing,low
21.19848074,0.457074989,Genetic Information Processing,low
62.34786534,0.395027129,Unclassified,low
148.9892865,0.009391158,Cellular Processes,low
306.6781871,0.002119805,Metabolism,low
74.08945691,0.170400442,Cellular Processes,low
51.77521354,0.039467038,Metabolism,low
17.47833869,0.596298854,Cellular Processes,low
49.18007854,0.115787215,Genetic Information Processing,low
63.26251474,0.084903423,Metabolism,low
1125.34299,0.000121546,Genetic Information Processing,low
137.5209564,0.06837353,Genetic Information Processing,low
364.6734697,0.011851021,Genetic Information Processing,low
216.9321788,0.009331817,Cellular Processes,low
108.2551886,0.021229621,Genetic Information Processing,low
112.0325735,0.261399221,Human Diseases,low
29.3409523,0.55217326,Genetic Information Processing,low
32.29927253,0.164418613,Genetic Information Processing,low
261.3805889,0.162204787,Genetic Information Processing,low
219.6810037,0.492290491,Environmental Information Processing,low
99.10356095,0.044660155,Cellular Processes,low
147.1767213,0.019711325,Metabolism,low
30.22780972,0.115464934,Genetic Information Processing,low
153.2269528,0.003100378,Organismal Systems,low
14.72691459,0.597228814,Genetic Information Processing,low
51.06513969,0.079906425,Metabolism,low
35.42018464,0.425247141,Unclassified,low
725.8851966,0.00014075,Cellular Processes,low
34.19355697,0.352249477,Genetic Information Processing,low
139.766303,2.83E-05,Cellular Processes,low
26.08413691,0.280873499,Genetic Information Processing,low
251.6431216,0.031321031,Genetic Information Processing,low
766.2371572,0.028163179,Unclassified,low
23.99507274,0.346438112,Unclassified,low
180.8796919,0.007065532,Genetic Information Processing,low
18.9327897,0.464807492,Genetic Information Processing,low
54.11996583,0.06837353,Organismal Systems,low
70.53478826,0.220419592,Metabolism,low
31.34711911,0.060866616,Genetic Information Processing,low
18.55156727,0.612764704,Genetic Information Processing,low
20.20257458,0.623264158,Genetic Information Processing,low
87.23412031,0.022783178,Genetic Information Processing,low
11.13417709,0.343810807,Cellular Processes,low
10.17600102,0.558035769,Metabolism,low
70.57927561,0.028525412,Metabolism,low
45.46507029,0.531056572,Environmental Information Processing,low
2112.026845,7.67E-05,Metabolism,low
137.6623367,0.001621561,Metabolism,low
27.97583579,0.066256042,Genetic Information Processing,low
23.25410839,0.431195949,Genetic Information Processing,low
208.1068886,0.007240406,Environmental Information Processing,low
209.9264176,0.028864489,Metabolism,low
21.20603303,0.281053195,Metabolism,low
420.3730705,0.01362988,Genetic Information Processing,low
18.99451189,0.51034175,Metabolism,low
20.18589391,0.236859186,Genetic Information Processing,low
211.8511066,0.028543507,Genetic Information Processing,low
197.5515962,0.05702975,Genetic Information Processing,low
1028.117427,0.002908527,Environmental Information Processing,low
283.1060096,0.000231404,Environmental Information Processing,low
210.1355062,0.210663158,Cellular Processes,low
19.75337057,0.211735498,Human Diseases,low
54.18891173,0.19900017,Genetic Information Processing,low
38.23655166,0.529797137,Genetic Information Processing,low
27.40169601,0.265668735,Genetic Information Processing,low
159.1718444,0.113583095,Genetic Information Processing,low
39.08280507,0.004045004,Genetic Information Processing,low
88.40324831,0.299082811,Cellular Processes,low
419.3717003,0.000205256,Genetic Information Processing,low
79.51821088,0.023524242,Genetic Information Processing,low
9.764610659,0.762051694,Genetic Information Processing,low
17.90464447,0.36209762,Genetic Information Processing,low
774.6646777,0.251981808,Metabolism,low
32.67415029,0.350161984,Genetic Information Processing,low
49.95276007,0.3276841,Genetic Information Processing,low
13.48231076,0.431565949,Human Diseases,low
45.97143204,0.163045582,Genetic Information Processing,low
89.08780946,0.004128719,Cellular Processes,low
1541.280144,1.33E-05,Organismal Systems,low
90.65839698,0.482013845,Cellular Processes,low
62.40422465,0.061718251,Genetic Information Processing,low
88.49596654,0.001899179,Genetic Information Processing,low
536.3217447,0.007162973,Genetic Information Processing,low
20.71027281,0.519226391,Genetic Information Processing,low
449.8336781,0.005393493,Human Diseases,low
16.3407235,0.5940969,Genetic Information Processing,low
12.52319347,0.722704485,Genetic Information Processing,low
168.9116034,0.009633319,Genetic Information Processing,low
718.7283529,0.008240162,Metabolism,low
267.8400167,0.000436658,Genetic Information Processing,low
122.0011162,0.00162684,Cellular Processes,low
65.68046649,0.13497716,Genetic Information Processing,low
185.6571747,0.228345545,Cellular Processes,low
30.45807953,0.093190603,Genetic Information Processing,low
421.0281517,5.51E-06,Unclassified,low
303.5919524,0.002982425,Genetic Information Processing,low
124.4261318,5.81E-05,Human Diseases,low
50.16306553,0.403007451,Unclassified,low
741.6160372,1.06E-06,Environmental Information Processing,low
272.3816331,2.84E-06,Human Diseases,low
59.26748719,0.345650835,Genetic Information Processing,low
532.8936216,0.002498519,Genetic Information Processing,low
1388.428432,0.131419276,Genetic Information Processing,low
10182.93858,0.146387338,Cellular Processes,low
220.9624158,0.001290251,Environmental Information Processing,low
9.066333684,0.365539353,Metabolism,low
75.75206871,0.047908167,Genetic Information Processing,low
51.8793926,0.029579305,Environmental Information Processing,low
493.5175467,0.011100024,Genetic Information Processing,low
107.657167,0.168822733,Human Diseases,low
34.13804621,0.44894214,Genetic Information Processing,low
29.64984489,0.541909762,Genetic Information Processing,low
375.4863076,0.003788628,Metabolism,low
31.40538187,0.204324363,Metabolism,low
155.2282264,0.020300327,Environmental Information Processing,low
181.9952046,0.055775342,Cellular Processes,low
45.53514762,0.164724089,Genetic Information Processing,low
442.9662823,0.018546623,Genetic Information Processing,low
9.79891805,0.511310623,Genetic Information Processing,low
82.7423515,0.041657092,Cellular Processes,low
13.22389827,0.734333097,Genetic Information Processing,low
146.9547911,0.010689662,Genetic Information Processing,low
106.4216327,0.001944147,Unclassified,low
87.56862138,0.247868644,Human Diseases,low
2725.579065,0.017941006,Human Diseases,low
46.61514065,0.372700688,Genetic Information Processing,low
153.7150795,0.061898751,Genetic Information Processing,low
197.8362799,0.057799738,Genetic Information Processing,low
58.61116767,0.234031285,Genetic Information Processing,low
145.646268,0.000357173,Cellular Processes,low
253.858136,0.020603563,Genetic Information Processing,low
29.58287744,0.33095018,Environmental Information Processing,low
196.4356717,1.08E-11,Metabolism,low
344.8726211,3.68E-06,Genetic Information Processing,low
59.39679885,0.034573859,Genetic Information Processing,low
122.6873047,0.449546808,Metabolism,low
234.4414989,0.155976569,Metabolism,low
179.8049144,0.016596909,Cellular Processes,low
227.6345041,0.010655536,Genetic Information Processing,low
403.4272641,0.02202186,Genetic Information Processing,low
27.1006061,0.162262781,Genetic Information Processing,low
14.41054743,0.704614531,Genetic Information Processing,low
31.64858178,0.368872966,Genetic Information Processing,low
10.11343861,0.155655067,Genetic Information Processing,low
677.5056783,0.44894214,Human Diseases,low
60.15117343,0.004880788,Metabolism,low
85.41387599,0.113611935,Genetic Information Processing,low
1855.437945,0.000788356,Genetic Information Processing,low
16.64376839,0.652188064,Genetic Information Processing,low
39.48049759,0.283284869,Metabolism,low
21.59872212,0.233783196,Genetic Information Processing,low
177.2560849,0.003652556,Genetic Information Processing,low
157.1345893,0.074406324,Environmental Information Processing,low
104.4774421,0.070275283,Organismal Systems,low
116.1123344,0.094532155,Genetic Information Processing,low
368.3048215,0.058917002,Cellular Processes,low
106.5672003,0.004941907,Genetic Information Processing,low
892.254096,0.000680825,Genetic Information Processing,low
4544.635003,0.000242021,Metabolism,low
935.0845428,0.036721664,Genetic Information Processing,low
333.9029805,0.003453217,Genetic Information Processing,low
44.67391889,0.149442955,Genetic Information Processing,low
13.98854167,0.65643119,Genetic Information Processing,low
26.13656531,0.577112416,Genetic Information Processing,low
58.19437368,0.403007451,Unclassified,low
159.8071439,0.431565949,Genetic Information Processing,low
20.90284854,0.589655439,Cellular Processes,low
56.71550589,0.213273345,Metabolism,low
109.1155479,0.15555222,Genetic Information Processing,low
40.2152102,0.372700688,Human Diseases,low
344.6841958,0.002498519,Genetic Information Processing,low
429.0669141,5.63E-05,Metabolism,low
43.85137783,0.352163854,Genetic Information Processing,low
23.90771626,0.270150553,Genetic Information Processing,low
65.11522866,0.010004902,Genetic Information Processing,low
68.22417335,0.012014693,Genetic Information Processing,low
96.66944226,0.081527852,Cellular Processes,low
120.1949814,0.000436658,Metabolism,low
33.2447531,0.412632432,Genetic Information Processing,low
95.89465083,0.00415095,Human Diseases,low
19.57323325,0.494203963,Metabolism,low
122.6987131,0.203210651,Metabolism,low
23.11641269,0.53497591,Genetic Information Processing,low
18.31112768,0.311183131,Genetic Information Processing,low
152.6486144,0.002063145,Genetic Information Processing,low
24.32451742,0.376940726,Genetic Information Processing,low
70.85666652,0.143096237,Metabolism,low
433.0418072,0.308186852,Environmental Information Processing,low
130.39703,0.322345551,Metabolism,low
56.14584194,0.25611062,Metabolism,low
58.25934103,0.369349601,Genetic Information Processing,low
39.51945335,0.43138464,Genetic Information Processing,low
41.97987234,0.417134162,Cellular Processes,low
138.7162199,0.080218599,Metabolism,low
43.73837264,0.456699694,Organismal Systems,low
38.35861229,0.050306967,Genetic Information Processing,low
230.145524,0.111567586,Genetic Information Processing,low
632.4803871,0.003892233,Metabolism,low
22.85902947,0.330815564,Human Diseases,low
40.35100212,0.189101011,Genetic Information Processing,low
724.774217,0.009952951,Genetic Information Processing,low
123.7814221,0.194957589,Genetic Information Processing,low
888.2311032,0.008415643,Genetic Information Processing,low
24.86821718,0.443142248,Human Diseases,low
71.66288599,0.047850189,Genetic Information Processing,low
197.2247696,0.027775457,Environmental Information Processing,low
18.59219275,0.682018874,Metabolism,low
28.62966084,0.286332356,Genetic Information Processing,low
527.0224355,0.002962702,Cellular Processes,low
117.6607941,0.039000882,Genetic Information Processing,low
50.86754473,0.319233893,Genetic Information Processing,low
126.461755,0.014424625,Genetic Information Processing,low
23.51569268,0.360641788,Metabolism,low
259.5567351,0.03030749,Metabolism,low
42.91138082,0.369699264,Genetic Information Processing,low
19.24416803,0.21354967,Unclassified,low
297.6578854,0.658500356,Environmental Information Processing,low
147.9112171,0.014563413,Genetic Information Processing,low
58.17906761,0.283641235,Environmental Information Processing,low
90.48590305,0.087364828,Genetic Information Processing,low
9.369033509,0.617974075,Genetic Information Processing,low
55.39030105,0.352249477,Genetic Information Processing,low
29.81802575,0.724937551,Metabolism,low
205.6356016,0.041555227,Genetic Information Processing,low
24.59881006,0.492055014,Metabolism,low
17.61063932,0.467924764,Genetic Information Processing,low
426.8404903,0.000290243,Metabolism,low
6797.558683,0.21489184,Human Diseases,low
108.6808907,0.172796569,Cellular Processes,low
194.3505617,0.17145009,Genetic Information Processing,low
30.16986916,0.432643658,Human Diseases,low
22.65949675,0.391947731,Genetic Information Processing,low
35.16973425,0.488381179,Human Diseases,low
23.08347136,0.519317217,Environmental Information Processing,low
12.5433329,0.68682789,Cellular Processes,low
350.3988699,2.82E-05,Cellular Processes,low
23.03488665,0.440436148,Genetic Information Processing,low
20.81745499,0.491616167,Human Diseases,low
12.81893284,0.524638963,Genetic Information Processing,low
155.4671372,0.050407816,Genetic Information Processing,low
38.07008856,0.288924713,Metabolism,low
37.68428553,0.771292892,Genetic Information Processing,low
19.42281941,0.527919088,Cellular Processes,low
156.8767269,5.15E-05,Genetic Information Processing,low
23.37711944,0.166614213,Organismal Systems,low
312.9994579,0.015567581,Genetic Information Processing,low
17.28003443,0.414202016,Metabolism,low
327.6543123,0.02140366,Genetic Information Processing,low
1333.946763,6.36E-05,Genetic Information Processing,low
81.49671557,0.093286478,Metabolism,low
106.1844256,0.126169157,Environmental Information Processing,low
22.1450092,0.473459821,Metabolism,low
168.2233914,0.000165007,Genetic Information Processing,low
26.38184408,0.176866574,Metabolism,low
73.78852415,0.626153243,Unclassified,low
102.5493676,0.107898685,Genetic Information Processing,low
317.0978652,0.031099547,Genetic Information Processing,low
110.6897239,0.331124348,Genetic Information Processing,low
224.6212089,0.121986481,Metabolism,low
8.838553319,0.499889588,Unclassified,low
672.1238796,0.049160507,Metabolism,low
28.6051247,0.500961049,Genetic Information Processing,low
18.72031869,0.676757163,Metabolism,low
45.8619125,0.028008877,Metabolism,low
74.27711075,0.059245644,Human Diseases,low
63.99991134,0.210005079,Metabolism,low
403.1003595,0.452304753,Metabolism,low
93.10278162,0.266406361,Genetic Information Processing,low
29.14122761,0.286339572,Genetic Information Processing,low
40.61781035,0.371328094,Cellular Processes,low
21.25315361,0.611190645,Cellular Processes,low
619.0679267,0.001725317,Genetic Information Processing,low
404.9552896,0.040170658,Genetic Information Processing,low
116.7512997,0.067499026,Genetic Information Processing,low
28.78964534,0.461302047,Genetic Information Processing,low
1323.814795,0.002199616,Human Diseases,low
103.6279608,0.023108157,Genetic Information Processing,low
18.17050568,0.324763442,Cellular Processes,low
73.69512818,0.492152992,Metabolism,low
96.60836911,0.308469531,Genetic Information Processing,low
258.0836867,0.032914023,Unclassified,low
210.7029829,0.000534867,Metabolism,low
948.7774953,0.021058419,Environmental Information Processing,low
214.9506409,0.002298961,Environmental Information Processing,low
22.57463251,0.301607505,Genetic Information Processing,low
9.074383849,0.645166542,Genetic Information Processing,low
71.68775871,0.075763668,Organismal Systems,low
399.4067174,0.011636423,Cellular Processes,low
882.992107,1.19E-05,Environmental Information Processing,low
15.45691636,0.485145527,Unclassified,low
12.11064894,0.645166542,Environmental Information Processing,low
52.63109751,0.376940726,Genetic Information Processing,low
180.6072568,0.058843441,Genetic Information Processing,low
232.9014799,0.068286184,Genetic Information Processing,low
71.25840454,0.269533711,Genetic Information Processing,low
20.72393172,0.555818183,Genetic Information Processing,low
332.0729257,0.000673926,Human Diseases,low
19.87687933,0.591247793,Genetic Information Processing,low
834.1339284,0.000169668,Metabolism,low
89.15542095,0.477389927,Genetic Information Processing,low
257.0726804,0.001318276,Human Diseases,low
1173.276599,0.007391828,Genetic Information Processing,low
17.70237586,0.312421123,Genetic Information Processing,low
566.1714803,0.000838319,Genetic Information Processing,low
132.6843262,0.0016625,Metabolism,low
57.21443814,0.055568655,Environmental Information Processing,low
49.50343011,0.239686718,Genetic Information Processing,low
24.10945264,0.677609321,Genetic Information Processing,low
778.9776664,0.060035301,Genetic Information Processing,low
28.27624358,0.558035769,Genetic Information Processing,low
29.96261715,0.641331848,Metabolism,low
8.89096817,0.656610313,Genetic Information Processing,low
537.436791,0.02617065,Genetic Information Processing,low
159.4329923,0.100461192,Genetic Information Processing,low
155.7294528,0.155102212,Genetic Information Processing,low
55.13985808,0.096035779,Human Diseases,low
374.1433973,0.269776889,Genetic Information Processing,low
29.70600845,0.621334375,Genetic Information Processing,low
325.0117726,0.024384679,Genetic Information Processing,low
8112.855688,0.223575349,Human Diseases,low
237.4633443,0.158310639,Metabolism,low
112.4498126,0.007240406,Metabolism,low
76.94938683,0.074469827,Metabolism,low
57.72996488,0.129261855,Genetic Information Processing,low
46.49425614,0.223575349,Genetic Information Processing,low
26.6308385,0.246456782,Genetic Information Processing,low
435.1260248,1.76E-05,Metabolism,low
6364.917952,4.02E-10,Genetic Information Processing,low
21.98219948,0.623480086,Genetic Information Processing,low
66.04216927,0.141276585,Genetic Information Processing,low
131.6444704,0.081655313,Environmental Information Processing,low
23.07557846,0.550216453,Genetic Information Processing,low
117.4151297,0.028905539,Cellular Processes,low
1382.052394,0.00011928,Metabolism,low
102.5178239,0.010667822,Genetic Information Processing,low
47.82865252,0.336591708,Genetic Information Processing,low
39.47204075,0.570454169,Cellular Processes,low
73.07149858,0.284320234,Cellular Processes,low
13.11618068,0.617553444,Genetic Information Processing,low
963.9182144,0.014286855,Genetic Information Processing,low
296.688801,0.056342961,Metabolism,low
119.198947,0.020325508,Metabolism,low
191.6011257,0.004078372,Genetic Information Processing,low
297.1330897,0.030878672,Organismal Systems,low
26.51265867,0.514126036,Cellular Processes,low
12.62419829,0.717431874,Environmental Information Processing,low
33.06588683,0.126244181,Genetic Information Processing,low
203.9639854,0.006814523,Genetic Information Processing,low
74.74209738,0.037027253,Genetic Information Processing,low
130.6572756,0.067133618,Genetic Information Processing,low
64.51751709,0.476658741,Genetic Information Processing,low
120.8140514,0.003594532,Metabolism,low
305.2335278,0.003227291,Genetic Information Processing,low
349.204755,0.018530703,Genetic Information Processing,low
34.77443231,0.148291178,Metabolism,low
706.2848014,0.033861985,Genetic Information Processing,low
51.58636098,0.386851524,Organismal Systems,low
13.70385563,0.710058352,Metabolism,low
43.24463681,0.229475718,Human Diseases,low
1388.771825,0.017950204,Genetic Information Processing,low
111.7218653,0.160235933,Human Diseases,low
981.4927579,0.000428007,Genetic Information Processing,low
1128.741226,0.03256328,Genetic Information Processing,low
294.6719009,0.004880788,Genetic Information Processing,low
721.1673824,0.014433007,Genetic Information Processing,low
18.16508705,0.35744622,Metabolism,low
729.6569001,0.028318011,Genetic Information Processing,low
64.786185,0.270147965,Cellular Processes,low
9.985911988,0.711379385,Genetic Information Processing,low
29.43271434,0.482257654,Human Diseases,low
410.0871297,0.013532103,Environmental Information Processing,low
27.0177701,0.376977706,Metabolism,low
43.69753371,0.375493711,Metabolism,low
72.3057257,0.361108042,Cellular Processes,low
162.9438515,0.015872951,Genetic Information Processing,low
32.76238535,0.589669502,Genetic Information Processing,low
74.91297375,0.419543482,Metabolism,low
13.55231663,0.467002343,Genetic Information Processing,low
18.51394943,0.595951025,Genetic Information Processing,low
211.5039407,0.004899992,Genetic Information Processing,low
60.29204537,0.064960121,Organismal Systems,low
212.4768856,0.142961762,Genetic Information Processing,low
53.27006526,0.295286036,Organismal Systems,low
9.226492204,0.711702242,Genetic Information Processing,low
361.1395633,0.013530578,Genetic Information Processing,low
38.50233703,0.395026998,Organismal Systems,low
31.41788394,0.229950187,Genetic Information Processing,low
13.86074271,0.539061019,Metabolism,low
859.0110068,0.00330174,Cellular Processes,low
865.0241677,0.012107969,Genetic Information Processing,low
18.78641351,0.724937551,Metabolism,low
58.78741574,0.52637799,Metabolism,low
320.2567832,0.255400968,Genetic Information Processing,low
89.38127693,0.39611371,Metabolism,low
730.5967311,0.054462916,Cellular Processes,low
411.3968033,0.101920982,Cellular Processes,low
82.47620595,0.25774355,Human Diseases,low
77.19950232,0.29495328,Unclassified,low
41.91918881,0.3276841,Genetic Information Processing,low
9.212902248,0.685980337,Metabolism,low
77.96176334,0.105514212,Organismal Systems,low
62.49544413,0.054462916,Genetic Information Processing,low
313.5658218,0.042556062,Human Diseases,low
15.49707872,0.569254636,Unclassified,low
18.04146232,0.766031094,Unclassified,low
223.2288891,0.31171728,Genetic Information Processing,low
1043.412042,0.00959923,Genetic Information Processing,low
40.39913397,0.48349773,Genetic Information Processing,low
43.88145359,0.344196596,Genetic Information Processing,low
78.3459737,0.222507036,Human Diseases,low
54.84404408,0.245545947,Unclassified,low
377.2989126,0.020530373,Unclassified,low
1622.530874,1.94E-05,Genetic Information Processing,low
346.4186815,0.000133711,Genetic Information Processing,low
1175.21017,2.52E-05,Metabolism,low
56.35221029,0.075408115,Genetic Information Processing,low
28.03466017,0.35211673,Cellular Processes,low
91.6323934,0.102343807,Unclassified,low
274.5911157,0.299787596,Genetic Information Processing,low
226.019144,0.004915628,Environmental Information Processing,low
9.442511084,0.62214353,Genetic Information Processing,low
